"OTU_ID","Class","Order","SH_code","SH_URL","SH_class","SH_source","SH_common_taxonomy","similarity_percentage","winter_occ","winter_n","winter_mean_share","summer_occ","summer_n","summer_mean_share"
"OTU1369","c__Dothideomycetes",NA,"104",NA,"novel_new_SH","UNITE_container","k__Fungi;p__Ascomycota;c__Dothideomycetes",85.4,20,26,0.112433928883221,3,26,0.00245058662722903
"OTU252","c__Dothideomycetes","o__Pleosporales","SH0568406.10FU","https://unite.ut.ee/sh/SH0568406.10FU","placeable_existing_SH","UNITE_container","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae",100,15,26,0.0466623360691101,9,26,0.00569593388685731
"OTU320","c__Leotiomycetes",NA,NA,NA,"excluded_nonITS","UNITE_container",NA,NA,15,26,0.0347013098110319,9,26,0.00536117471952696
"OTU1320","c__Dothideomycetes","o__Pleosporales","SH0659183.10FU","https://unite.ut.ee/sh/SH0659183.10FU","placeable_existing_SH","UNITE_container","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae",100,11,26,0.0324232592167801,17,26,0.0345667304504558
"OTU637","c__Dothideomycetes",NA,"124",NA,"novel_new_SH","UNITE_container","k__Fungi;p__Ascomycota;c__Dothideomycetes",93.6,14,26,0.0240084388442181,3,26,3.12363338403644e-05
"OTU691","c__Dothideomycetes","o__Dothideales","104",NA,"novel_new_SH","UNITE_container","k__Fungi;p__Ascomycota;c__Dothideomycetes",85.4,15,26,0.0237587698810277,0,26,0
"OTU715","c__Dothideomycetes","o__Botryosphaeriales","121",NA,"novel_new_SH","UNITE_container","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales",85.3,11,26,0.0215905812571212,0,26,0
"OTU1283","c__Lecanoromycetes",NA,"123",NA,"novel_new_SH","UNITE_container","k__Fungi;p__Ascomycota;c__Lecanoromycetes",90.2,8,26,0.0184353114513081,0,26,0
"OTU827",NA,NA,"108",NA,"novel_new_SH","UNITE_container","k__Fungi;p__Ascomycota",84.9,11,26,0.0182474382307983,3,26,0.00242566482701468
"OTU911",NA,NA,"108",NA,"novel_new_SH","UNITE_container","k__Fungi;p__Ascomycota",86.1,10,26,0.0172800123450945,1,26,5.39550567326631e-08
