"check","group","quantity","value"
"leave-one-out influence","Season-adjusted","freq. slope (p)","0.308 (p=0.160)"
"leave-one-out influence","Drop-Year","freq. slope (p)","0.428 (p=0.056)"
"leave-one-out influence","Season-adjusted","LOO slope range","0.018 to 0.390"
"leave-one-out influence","Drop-Year","LOO slope range","0.066 to 0.508"
"leave-one-out influence","Season-adjusted","# of n-1 refits with p>0.05","27"
"leave-one-out influence","Drop-Year","# of n-1 refits with p>0.05","19"
"leave-one-out influence","Season-adjusted","most influential sample","S_1_7_P1_8E"
"leave-one-out influence","Drop-Year","most influential sample","S_1_7_P1_8E"
"rank correlation (Spearman)","overall","rho (n=27)","-0.089 (p=0.659)"
"rank correlation (Spearman)","within winter","rho (n=16)","0.045 (p=0.869)"
"rank correlation (Spearman)","within summer","rho (n=11)","0.214 (p=0.528)"
