"OTU_ID","plant","slope_med","slope_lwr95","slope_upr95","Genus","guild_group"
"OTU1","Betula",0.159,-1.544,1.965,"Thelebolus","coprophilous"
"OTU1183","Betula",0.082,-1.659,1.811,"Phenoliferia","other/unassigned"
"OTU1225","Betula",0.103,-1.619,1.817,"Coniochaeta","coprophilous"
"OTU1226","Betula",0.092,-1.605,1.822,"Phenoliferia","other/unassigned"
"OTU1242","Betula",0.168,-1.5,1.912,"Spirographa","other/unassigned"
"OTU1271","Betula",0.146,-1.549,1.91,"Aureobasidium","plant_associated"
"OTU1279","Betula",0.109,-1.631,1.89,NA,"other/unassigned"
"OTU1283","Betula",0.162,-1.526,1.957,NA,"other/unassigned"
"OTU1289","Betula",0.155,-1.493,1.9,"Dothideales_gen_Incertae_sedis","other/unassigned"
"OTU1305","Betula",0.139,-1.599,1.926,NA,"coprophilous"
"OTU1320","Betula",0.218,-1.398,2.021,NA,"coprophilous"
"OTU1340","Betula",0.154,-1.541,1.926,NA,"other/unassigned"
"OTU136","Betula",0.191,-1.506,1.97,"Candida","plant_associated"
"OTU1365","Betula",0.18,-1.503,1.984,"Perusta","other/unassigned"
"OTU1369","Betula",0.14,-1.582,1.891,NA,"other/unassigned"
"OTU1370","Betula",0.154,-1.532,1.931,NA,"other/unassigned"
"OTU1427","Betula",0.103,-1.622,1.832,NA,"other/unassigned"
"OTU175","Betula",0.102,-1.656,1.832,"Mrakiaceae_gen_Incertae_sedis","other/unassigned"
"OTU176","Betula",0.135,-1.572,1.898,"Dothiora","other/unassigned"
"OTU192","Betula",0.173,-1.495,1.988,"Kabatiella","plant_associated"
"OTU2","Betula",0.137,-1.551,1.905,"Myriangiales_gen_Incertae_sedis","other/unassigned"
"OTU21","Betula",0.11,-1.627,1.882,"Venturia","plant_associated"
"OTU252","Betula",0.176,-1.497,1.934,NA,"plant_associated"
"OTU258","Betula",0.11,-1.593,1.849,NA,"other/unassigned"
"OTU32","Betula",0.095,-1.653,1.849,"Phenoliferia","other/unassigned"
"OTU320","Betula",0.136,-1.577,1.91,NA,"other/unassigned"
"OTU340","Betula",0.168,-1.524,1.906,"Cladosporium","plant_associated"
"OTU381","Betula",0.155,-1.497,1.901,NA,"other/unassigned"
"OTU45","Betula",0.147,-1.546,1.912,"Coleophoma","plant_associated"
"OTU483","Betula",0.016,-1.802,1.722,NA,"plant_associated"
"OTU554","Betula",0.149,-1.541,1.948,"Exobasidium","plant_associated"
"OTU594","Betula",0.173,-1.516,1.934,"Taphrina","plant_associated"
"OTU628","Betula",0.185,-1.455,1.961,"Frutidella","other/unassigned"
"OTU636","Betula",0.065,-1.689,1.801,"Sporormiella","coprophilous"
"OTU637","Betula",0.196,-1.465,2.009,NA,"other/unassigned"
"OTU651","Betula",0.088,-1.653,1.823,NA,"other/unassigned"
"OTU691","Betula",0.162,-1.53,1.944,NA,"other/unassigned"
"OTU715","Betula",0.147,-1.569,1.872,NA,"other/unassigned"
"OTU733","Betula",0.165,-1.497,1.941,"Psilolechiaceae_gen_Incertae_sedis","other/unassigned"
"OTU758","Betula",0.135,-1.572,1.927,"Meristemomyces","plant_associated"
"OTU788","Betula",0.168,-1.508,1.975,NA,"other/unassigned"
"OTU827","Betula",0.171,-1.493,1.957,NA,"other/unassigned"
"OTU9","Betula",0.163,-1.506,1.944,"Cladosporium","plant_associated"
"OTU911","Betula",0.103,-1.634,1.858,NA,"other/unassigned"
"OTU92","Betula",0.181,-1.495,2.029,NA,"coprophilous"
"OTU97","Betula",0.102,-1.623,1.856,NA,"other/unassigned"
"OTU1","Vaccinium",2.301,-0.25,5.109,"Thelebolus","coprophilous"
"OTU1183","Vaccinium",1.414,-0.991,4.496,"Phenoliferia","other/unassigned"
"OTU1225","Vaccinium",1.697,-0.85,4.581,"Coniochaeta","coprophilous"
"OTU1226","Vaccinium",0.348,-1.599,2.356,"Phenoliferia","other/unassigned"
"OTU1242","Vaccinium",-1.502,-4.749,0.832,"Spirographa","other/unassigned"
"OTU1271","Vaccinium",0.438,-1.615,2.509,"Aureobasidium","plant_associated"
"OTU1279","Vaccinium",-0.409,-3.822,2.862,NA,"other/unassigned"
"OTU1283","Vaccinium",-1.412,-5.284,1.163,NA,"other/unassigned"
"OTU1289","Vaccinium",-1.236,-4.879,1.274,"Dothideales_gen_Incertae_sedis","other/unassigned"
"OTU1305","Vaccinium",-0.088,-2.81,3.194,NA,"coprophilous"
"OTU1320","Vaccinium",-0.194,-2.256,1.888,NA,"coprophilous"
"OTU1340","Vaccinium",-1.359,-4.809,1.068,NA,"other/unassigned"
"OTU136","Vaccinium",-0.614,-2.841,1.699,"Candida","plant_associated"
"OTU1365","Vaccinium",-1.452,-4.863,1.022,"Perusta","other/unassigned"
"OTU1369","Vaccinium",-1.78,-5.344,0.683,NA,"other/unassigned"
"OTU1370","Vaccinium",-1.181,-4.795,1.327,NA,"other/unassigned"
"OTU1427","Vaccinium",-0.299,-2.907,2.553,NA,"other/unassigned"
"OTU175","Vaccinium",0.655,-1.533,3.214,"Mrakiaceae_gen_Incertae_sedis","other/unassigned"
"OTU176","Vaccinium",-0.394,-3.468,2.616,"Dothiora","other/unassigned"
"OTU192","Vaccinium",-1.325,-4.914,1.182,"Kabatiella","plant_associated"
"OTU2","Vaccinium",-1.739,-5.44,0.86,"Myriangiales_gen_Incertae_sedis","other/unassigned"
"OTU21","Vaccinium",1.288,-1.289,4.589,"Venturia","plant_associated"
"OTU252","Vaccinium",-0.518,-2.61,1.629,NA,"plant_associated"
"OTU258","Vaccinium",0.422,-2.319,3.816,NA,"other/unassigned"
"OTU32","Vaccinium",1.044,-1.366,4.294,"Phenoliferia","other/unassigned"
"OTU320","Vaccinium",-0.901,-3.531,1.23,NA,"other/unassigned"
"OTU340","Vaccinium",-0.86,-3.266,1.203,"Cladosporium","plant_associated"
"OTU381","Vaccinium",-1.232,-4.815,1.297,NA,"other/unassigned"
"OTU45","Vaccinium",-0.605,-2.659,1.39,"Coleophoma","plant_associated"
"OTU483","Vaccinium",1.561,-0.846,4.2,NA,"plant_associated"
"OTU554","Vaccinium",-0.496,-3.313,1.838,"Exobasidium","plant_associated"
"OTU594","Vaccinium",-0.964,-4.451,1.521,"Taphrina","plant_associated"
"OTU628","Vaccinium",-0.4,-2.379,1.539,"Frutidella","other/unassigned"
"OTU636","Vaccinium",2.013,-0.508,4.972,"Sporormiella","coprophilous"
"OTU637","Vaccinium",-1.977,-5.811,0.793,NA,"other/unassigned"
"OTU651","Vaccinium",0.865,-1.779,4.166,NA,"other/unassigned"
"OTU691","Vaccinium",-1.692,-5.45,0.775,NA,"other/unassigned"
"OTU715","Vaccinium",-1.204,-4.855,1.284,NA,"other/unassigned"
"OTU733","Vaccinium",-1.67,-5.323,1.021,"Psilolechiaceae_gen_Incertae_sedis","other/unassigned"
"OTU758","Vaccinium",1.187,-0.93,3.292,"Meristemomyces","plant_associated"
"OTU788","Vaccinium",-1.573,-5.048,1.004,NA,"other/unassigned"
"OTU827","Vaccinium",-1.437,-4.464,0.934,NA,"other/unassigned"
"OTU9","Vaccinium",-1.084,-3.571,1.073,"Cladosporium","plant_associated"
"OTU911","Vaccinium",-0.649,-4.589,2.93,NA,"other/unassigned"
"OTU92","Vaccinium",-0.172,-2.742,3.133,NA,"coprophilous"
"OTU97","Vaccinium",1.213,-1.366,4.452,NA,"other/unassigned"
"OTU1","Empetrum",-0.057,-1.31,0.918,"Thelebolus","coprophilous"
"OTU1183","Empetrum",0.235,-0.718,1.375,"Phenoliferia","other/unassigned"
"OTU1225","Empetrum",0.166,-0.838,1.245,"Coniochaeta","coprophilous"
"OTU1226","Empetrum",0.225,-0.738,1.392,"Phenoliferia","other/unassigned"
"OTU1242","Empetrum",0.19,-0.802,1.342,"Spirographa","other/unassigned"
"OTU1271","Empetrum",0.219,-0.79,1.363,"Aureobasidium","plant_associated"
"OTU1279","Empetrum",0.233,-0.728,1.393,NA,"other/unassigned"
"OTU1283","Empetrum",0.126,-0.872,1.101,NA,"other/unassigned"
"OTU1289","Empetrum",0.193,-0.813,1.288,"Dothideales_gen_Incertae_sedis","other/unassigned"
"OTU1305","Empetrum",0.202,-0.785,1.327,NA,"coprophilous"
"OTU1320","Empetrum",0.002,-1.097,0.967,NA,"coprophilous"
"OTU1340","Empetrum",0.223,-0.765,1.371,NA,"other/unassigned"
"OTU136","Empetrum",0.071,-0.944,0.998,"Candida","plant_associated"
"OTU1365","Empetrum",0.178,-0.862,1.265,"Perusta","other/unassigned"
"OTU1369","Empetrum",0.237,-0.735,1.475,NA,"other/unassigned"
"OTU1370","Empetrum",0.198,-0.839,1.331,NA,"other/unassigned"
"OTU1427","Empetrum",0.204,-0.771,1.266,NA,"other/unassigned"
"OTU175","Empetrum",0.246,-0.662,1.274,"Mrakiaceae_gen_Incertae_sedis","other/unassigned"
"OTU176","Empetrum",0.247,-0.713,1.448,"Dothiora","other/unassigned"
"OTU192","Empetrum",0.184,-0.839,1.292,"Kabatiella","plant_associated"
"OTU2","Empetrum",0.232,-0.742,1.356,"Myriangiales_gen_Incertae_sedis","other/unassigned"
"OTU21","Empetrum",0.198,-0.803,1.306,"Venturia","plant_associated"
"OTU252","Empetrum",0.131,-0.872,1.106,NA,"plant_associated"
"OTU258","Empetrum",0.202,-0.742,1.226,NA,"other/unassigned"
"OTU32","Empetrum",0.201,-0.786,1.31,"Phenoliferia","other/unassigned"
"OTU320","Empetrum",0.332,-0.597,1.477,NA,"other/unassigned"
"OTU340","Empetrum",0.267,-0.682,1.469,"Cladosporium","plant_associated"
"OTU381","Empetrum",0.208,-0.768,1.375,NA,"other/unassigned"
"OTU45","Empetrum",0.115,-0.791,1.029,"Coleophoma","plant_associated"
"OTU483","Empetrum",0.251,-0.682,1.302,NA,"plant_associated"
"OTU554","Empetrum",0.223,-0.737,1.29,"Exobasidium","plant_associated"
"OTU594","Empetrum",0.199,-0.833,1.291,"Taphrina","plant_associated"
"OTU628","Empetrum",0.204,-0.824,1.333,"Frutidella","other/unassigned"
"OTU636","Empetrum",0.203,-0.778,1.323,"Sporormiella","coprophilous"
"OTU637","Empetrum",0.172,-0.855,1.255,NA,"other/unassigned"
"OTU651","Empetrum",0.155,-0.88,1.226,NA,"other/unassigned"
"OTU691","Empetrum",0.214,-0.784,1.325,NA,"other/unassigned"
