"OTU_ID","Genus","prevalence","specificity_HHI","diffuse_baseline","dominant_plant","dom_slope_med","dom_slope_lwr90","dom_slope_upr90","resolved_single_plant","guild_group","primary_guild","FUNGuild"
"OTU1","Thelebolus",9,0.671,0.167,"Vaccinium",2.301,0.184,4.615,TRUE,"coprophilous","Dung Saprotroph","|Dung Saprotroph|-Endophyte-Plant Saprotroph-Undefined Saprotroph"
"OTU1225","Coniochaeta",7,0.508,0.167,"Vaccinium",1.697,-0.491,4.112,FALSE,"coprophilous","Undefined Saprotroph","Animal Pathogen-Dung Saprotroph-Endophyte-Lichen Parasite-Plant Pathogen-|Undefined Saprotroph|"
"OTU636","Sporormiella",8,0.507,0.167,"Vaccinium",2.013,-0.126,4.433,FALSE,"coprophilous","Plant Saprotroph","Dung Saprotroph-Endophyte-Lichen Parasite-|Plant Saprotroph|"
"OTU637",NA,11,0.488,0.167,"Vaccinium",-1.977,-5.078,0.42,FALSE,"other/unassigned",NA,NA
"OTU758","Meristemomyces",7,0.423,0.167,"Vaccinium",1.187,-0.601,2.937,FALSE,"plant_associated","Plant Saprotroph","|Plant Saprotroph|"
"OTU733","Psilolechiaceae_gen_Incertae_sedis",10,0.42,0.167,"Vaccinium",-1.67,-4.636,0.651,FALSE,"other/unassigned",NA,"Lichen Parasite-Lichenized"
"OTU788",NA,6,0.412,0.167,"Vaccinium",-1.573,-4.392,0.582,FALSE,"other/unassigned",NA,NA
"OTU1283",NA,5,0.408,0.167,"Vaccinium",-1.412,-4.598,0.784,FALSE,"other/unassigned",NA,NA
"OTU21","Venturia",7,0.406,0.167,"Vaccinium",1.288,-0.917,4.029,FALSE,"plant_associated","Plant Pathogen","|Plant Pathogen|-Plant Saprotroph"
"OTU691",NA,12,0.402,0.167,"Vaccinium",-1.692,-4.662,0.401,FALSE,"other/unassigned",NA,NA
"OTU1365","Perusta",6,0.399,0.167,"Vaccinium",-1.452,-4.196,0.667,FALSE,"other/unassigned","Undefined Saprotroph","|Undefined Saprotroph|"
"OTU2","Myriangiales_gen_Incertae_sedis",17,0.398,0.167,"Vaccinium",-1.739,-4.797,0.501,FALSE,"other/unassigned",NA,NA
"OTU97",NA,5,0.397,0.167,"Vaccinium",1.213,-0.988,3.915,FALSE,"other/unassigned",NA,NA
"OTU1183","Phenoliferia",7,0.396,0.167,"Vaccinium",1.414,-0.657,3.953,FALSE,"other/unassigned","Undefined Saprotroph","|Undefined Saprotroph|"
"OTU1242","Spirographa",6,0.395,0.167,"Vaccinium",-1.502,-4.209,0.483,FALSE,"other/unassigned","Lichen Parasite","|Lichen Parasite|"
"OTU1369",NA,16,0.395,0.167,"Vaccinium",-1.78,-4.706,0.279,FALSE,"other/unassigned",NA,NA
"OTU827",NA,8,0.392,0.167,"Vaccinium",-1.437,-3.943,0.587,FALSE,"other/unassigned",NA,NA
"OTU192","Kabatiella",5,0.386,0.167,"Vaccinium",-1.325,-4.261,0.799,FALSE,"plant_associated","Plant Pathogen","Endophyte-|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph"
"OTU483",NA,7,0.372,0.167,"Vaccinium",1.561,-0.49,3.743,FALSE,"plant_associated",NA,"Endophyte-Plant Pathogen-Undefined Saprotroph"
"OTU1340",NA,5,0.357,0.167,"Vaccinium",-1.359,-4.13,0.712,FALSE,"other/unassigned",NA,NA
"OTU381",NA,8,0.349,0.167,"Vaccinium",-1.232,-4.141,0.905,FALSE,"other/unassigned",NA,NA
"OTU1289","Dothideales_gen_Incertae_sedis",8,0.345,0.167,"Vaccinium",-1.236,-4.21,0.889,FALSE,"other/unassigned",NA,NA
"OTU1370",NA,7,0.338,0.167,"Vaccinium",-1.181,-4.064,0.968,FALSE,"other/unassigned",NA,NA
"OTU32","Phenoliferia",5,0.334,0.167,"Vaccinium",1.044,-1.005,3.612,FALSE,"other/unassigned","Undefined Saprotroph","|Undefined Saprotroph|"
"OTU9","Cladosporium",6,0.328,0.167,"Vaccinium",-1.084,-3.171,0.726,FALSE,"plant_associated","Plant Saprotroph","Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-|Plant Saprotroph|-Wood Saprotroph"
"OTU715",NA,7,0.32,0.167,"Vaccinium",-1.204,-4.142,0.942,FALSE,"other/unassigned",NA,NA
"OTU594","Taphrina",10,0.305,0.167,"Vaccinium",-0.964,-3.783,1.129,FALSE,"plant_associated","Plant Pathogen","|Plant Pathogen|"
"OTU136","Candida",9,0.298,0.167,"Vaccinium",-0.614,-2.523,1.336,FALSE,"plant_associated","Undefined Saprotroph","Animal Pathogen-Endophyte-Endosymbiont-Epiphyte-|Undefined Saprotroph|"
"OTU651",NA,5,0.297,0.167,"Vaccinium",0.865,-1.353,3.584,FALSE,"other/unassigned",NA,NA
"OTU340","Cladosporium",5,0.276,0.167,"Vaccinium",-0.86,-2.841,0.89,FALSE,"plant_associated","Plant Saprotroph","Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-|Plant Saprotroph|-Wood Saprotroph"
"OTU320",NA,15,0.267,0.167,"Vaccinium",-0.901,-3.033,0.891,FALSE,"other/unassigned",NA,NA
"OTU1320",NA,15,0.25,0.167,"Picea",0.26,-0.884,1.446,FALSE,"coprophilous",NA,"Dung Saprotroph-Plant Saprotroph"
