"OTU_ID","Kingdom","Phylum","Class","Order","Family","Genus","Species","is_dark","SH_class","SH_source","SH_URL","plutof_chimera_flag","common_taxonomy","common_rank","similarity_percentage","SH_code_015","SH_code_02","SH_code_03","status_015","status_02","status_03","winter_occ","winter_mean_share","summer_occ","summer_mean_share"
"OTU1","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Thelebolaceae","g__Thelebolus",NA,FALSE,"placeable_existing_SH","UNITE_container","https://unite.ut.ee/sh/SH0598998.10FU",FALSE,"k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Thelebolales",4,100,"SH0897423.10FU","SH0598998.10FU","SH0110823.10FU","present_in","present_in","present_in",5,0.0320802108023567,15,0.24850146684368
"OTU2","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Myriangiales","f__Myriangiales_fam_Incertae_sedis","g__Myriangiales_gen_Incertae_sedis",NA,FALSE,"placeable_existing_SH","UNITE_container","https://unite.ut.ee/sh/SH0664245.10FU",FALSE,"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Myriangiales",4,100,"SH0973252.10FU","SH0664245.10FU","SH0162833.10FU","present_in","present_in","present_in",21,0.0504913225260048,5,5.85972914632926e-05
"OTU3","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Thelebolaceae","g__Thelebolus",NA,FALSE,"placeable_existing_SH","UNITE_container","https://unite.ut.ee/sh/SH0598998.10FU",FALSE,"k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Thelebolales",4,98.6,"SH0897423.10FU","SH0598998.10FU","SH0110823.10FU","present_in","present_in","present_in",2,0.00647269776689556,0,0
"OTU4","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Trichomonascaceae","g__Blastobotrys","s__arbuscula",FALSE,"placeable_existing_SH","UNITE_container","https://unite.ut.ee/sh/SH0552556.10FU",FALSE,"k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Trichomonascaceae;g__Blastobotrys",6,100,"SH0843807.10FU","SH0552556.10FU","SH0072778.10FU","present_in","present_in","present_in",1,0.000200390092713816,0,0
"OTU5","k__Fungi","p__Ascomycota","c__Leotiomycetes",NA,NA,NA,NA,TRUE,"no_SH_match","UNITE_container",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,4.68276897318568e-05
"OTU6","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Polyporales_fam_Incertae_sedis","g__Amyloporia","s__xantha",FALSE,"placeable_existing_SH","UNITE_container","https://unite.ut.ee/sh/SH0657439.10FU",FALSE,"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Polyporales_fam_Incertae_sedis;g__Amyloporia;s__Amyloporia_xantha",7,100,"SH0965097.10FU","SH0657439.10FU","SH0157606.10FU","present_in","present_in","present_in",0,0,1,0.000293375280645379
"OTU7","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA,TRUE,"no_SH_match","UNITE_container",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.000566931386843539,0,0
"OTU8","k__Fungi","p__Mucoromycota","c__Umbelopsidomycetes","o__Umbelopsidales","f__Umbelopsidaceae","g__Umbelopsis","s__dimorpha",FALSE,"placeable_existing_SH","UNITE_container","https://unite.ut.ee/sh/SH0468608.10FU",FALSE,"k__Fungi;p__Mucoromycota;c__Umbelopsidomycetes;o__Umbelopsidales;f__Umbelopsidaceae;g__Umbelopsis",6,99,"SH0742495.10FU","SH0468608.10FU","SH0009099.10FU","present_in","present_in","present_in",0,0,1,4.57648449715877e-05
"OTU9","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Cladosporiales","f__Cladosporiaceae","g__Cladosporium",NA,FALSE,"excluded_nonITS","UNITE_container","https://unite.ut.ee/sh/SH0655188.10FU",FALSE,"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Cladosporiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_herbarum",7,100,"SH0962330.10FU","SH0655188.10FU","SH0155802.10FU","present_in","present_in","present_in",4,0.00365580334992319,5,6.59328646570978e-05
"OTU10","k__Fungi","p__Basidiomycota","c__Exobasidiomycetes","o__Exobasidiales","f__Exobasidiaceae","g__Exobasidium","s__arescens 1",FALSE,"placeable_existing_SH","UNITE_container","https://unite.ut.ee/sh/SH0631558.10FU",FALSE,"k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;o__Exobasidiales;f__Exobasidiaceae;g__Exobasidium",6,99,"SH0934686.10FU","SH0631558.10FU","SH0136961.10FU","present_in","present_in","present_in",1,0.000126616418134765,0,0
