"","Order","Genus","n_OTUs","total_w_abund","mean_w_abund","median_beta_season","mean_beta_season","q90_beta_season","max_beta_season","w_median_beta_season","w_mean_beta_season","perc_enriched_season","perc_enriched_season_w"
"1","Filobasidiales","Goffeauzyma",2,21925,10962.5,572.020383866784,572.020383866784,726.709414799824,765.381672533084,378.659095200483,408.344572858443,2.66254066527112e+250,2.81550023579063e+166
"2","Cystofilobasidiales","Mrakia",5,38284,7656.8,53.0145237792853,-0.387380412204468,105.866498283329,126.756163247028,126.756163247028,15.7236386445322,1.05661102533423e+25,1.12073322059519e+57
"3","Cantharellales","Ceratobasidium",2,209962,104981,79.2828237872706,79.2828237872706,86.1437317643967,87.8589587586782,70.7066888158629,81.9080862008612,2.70453670881616e+36,5.09946700804028e+32
"4","Kriegeriales","Phenoliferia",7,200896,28699.4285714286,37.0681131896744,79.6006385810271,192.838408487579,327.831920661031,37.0681131896744,24.9610717686917,1254518334582884352,1254518334582884352
"5","Filobasidiales","Piskurozyma",17,56581,3328.29411764706,52.9468934654312,149.061102673715,346.130877445157,755.561444617519,35.3834888356241,136.269813569048,9.87514920028021e+24,232730847917207264
"6","Venturiales","Venturia",7,291031,41575.8571428571,31.0956819189257,37.7667909586917,75.8887388347267,130.770981864563,22.3374515832979,33.4476529203049,3196561529312338,502379561269.817
"7","Coniochaetales","Coniochaeta",1,1153941,1153941,17.2753582108767,17.2753582108767,17.2753582108767,17.2753582108767,17.2753582108767,17.2753582108767,3181212866.01718,3181212866.01718
"8","Cantharellales","Sistotrema",3,73760,24586.6666666667,5.80155677409268,50.2173742956051,121.172410984903,150.015124537606,5.80155677409268,64.4913761087113,32981.4162163139,32981.4162163139
"9","Mycosphaerellales","Meristemomyces",4,135405,33851.25,16.201441727316,20.778090646139,47.677481404355,56.3610331463637,4.98702278163061,5.66606615399975,1086917800.05419,14549.9612240429
"10","Exobasidiales","Exobasidium",7,28896,4128,3.48329745638102,11.1881434573926,32.1087027445266,44.4460047921186,3.43407849652494,9.66341178373965,3156.6933258504,3000.28301824183
"11","Thelebolales","Thelebolus",2,3715780,1857890,5.51335018193581,5.51335018193581,7.53673723828628,8.04258400237389,2.98411636149773,3.31848507764385,24698.0516836515,1876.90258437129
"12","Hypocreales","Trichoderma",2,25219,12609.5,24.0009688236811,24.0009688236811,41.3609110780871,45.7008966416886,2.30104100567359,17.5518249640528,2651479785327.08,898.457104169039
"13","Helotiales","Coleophoma",2,424053,212026.5,9.44929481220744,9.44929481220744,17.0573564570443,18.9593718682535,-0.0607822438386415,3.0110372563671,1269820.67797342,-5.8971867859302
"14","Candelariales","Pycnora",5,22941,4588.2,11.3095579291576,50.5593234866396,140.389724224212,211.194599427392,-0.205313087676675,102.196848960155,8159682.85064533,-18.5607699700906
"15","Dothideales","Aureobasidium",2,70657,35328.5,-5.49456790897682,-5.49456790897682,-1.3487621115413,-0.312310662182419,-0.312310662182419,-2.77299722727791,-99.5890968442331,-26.8245835432263
"16","Saccharomycetales","Candida",2,280642,140321,-102.799521564596,-102.799521564596,-21.4681122791737,-1.1352599578181,-1.1352599578181,-14.9589507201226,-100,-67.8661423999358
"17","Lichenostigmatales","Antarctolichenia",1,31075,31075,-6.13445231165647,-6.13445231165647,-6.13445231165647,-6.13445231165647,-6.13445231165647,-6.13445231165647,-99.7833088314781,-99.7833088314781
"18","Capnodiales","Perusta",2,33474,16737,-4.77050298462735,-4.77050298462735,-2.40754050850812,-1.81679988947832,-7.72420607977639,-7.53784589166159,-99.1523884268341,-99.9558002388513
"19","Phaeomoniellales","Paraphaeomoniella",5,86734,17346.8,-8.80124400259957,-68.6653319197342,19.9565931289842,25.6482646127817,-8.80124400259957,-46.7734904533504,-99.9849454320657,-99.9849454320657
"20","Lecanorales","Melanohalea",3,26888,8962.66666666667,-10.0842485994721,-33.8718916077992,-8.4030633523281,-7.9827670405421,-10.0842485994721,-35.2669246754539,-99.995826826133,-99.995826826133
"21","Pleosporales","Sporormiella",7,2084446,297778,16.1279658712864,85.4844403067823,387.31636128987,742.831693797475,-10.2583012784507,17.4205364206341,1009918991.61056,-99.9964934796709
"22","Ostropales","Spirographa",1,64071,64071,-11.8705729784495,-11.8705729784495,-11.8705729784495,-11.8705729784495,-11.8705729784495,-11.8705729784495,-99.9993006804677,-99.9993006804677
"23","Hypocreales","Bisifusarium",1,26249,26249,-12.1328851219464,-12.1328851219464,-12.1328851219464,-12.1328851219464,-12.1328851219464,-12.1328851219464,-99.9994620338597,-99.9994620338597
"24","Cantharellales","Bergerella",1,1007424,1007424,-16.1377514364985,-16.1377514364985,-16.1377514364985,-16.1377514364985,-16.1377514364985,-16.1377514364985,-99.9999901946387,-99.9999901946387
"25","Tremellales","Vishniacozyma",6,143961,23993.5,19.9346604396797,41.7976982863158,130.537581545218,169.478792827573,-24.9678313154704,59.8074695268075,45447816902.4746,-99.9999999985658
"26","Cladosporiales","Cladosporium",3,37934,12644.6666666667,-0.754514374149221,-8.14149911644045,1.11324846016253,1.58018916874047,-25.2501721439126,-1.08139480323225,-52.9761080533954,-99.9999999989186
"27","Malasseziales","Malassezia",5,60482,12096.4,-36.0399349898005,-48.2204253602286,61.9386936850447,102.815747320805,-42.1178731048144,-34.3449325038,-100,-100
"28","Filobasidiales","Naganishia",4,24131,6032.75,-46.9652302217608,-70.8873443406156,-1.67159744547024,3.34998623164304,-80.5418344181205,-76.1935193489095,-100,-100
