"OTU_ID","plant","slope","se","slope_lwr95","slope_upr95","z","p","q_BH","Genus","guild_group","separation"
"OTU1","Betula",-2.977,1.646,-6.204,0.249,-1.809,0.0705,0.192,"Thelebolus","coprophilous",FALSE
"OTU2","Betula",0.612,0.497,-0.363,1.587,1.231,0.218,0.382,"Myriangiales_gen_Incertae_sedis","other/unassigned",FALSE
"OTU9","Betula",1.376,0.757,-0.108,2.86,1.817,0.0692,0.192,"Cladosporium","plant_associated",FALSE
"OTU21","Betula",0.628,2.014,-3.319,4.575,0.312,0.755,NA,"Venturia","plant_associated",TRUE
"OTU32","Betula",-3.474,2.384,-8.146,1.198,-1.458,0.145,NA,"Phenoliferia","other/unassigned",TRUE
"OTU45","Betula",4.155,2.025,0.186,8.125,2.052,0.0402,0.134,"Coleophoma","plant_associated",FALSE
"OTU92","Betula",-3.341,1.149,-5.593,-1.09,-2.909,0.00363,0.0274,NA,"coprophilous",FALSE
"OTU97","Betula",-4.268,4.408,-12.908,4.372,-0.968,0.333,0.476,NA,"other/unassigned",FALSE
"OTU136","Betula",1.283,1.062,-0.798,3.364,1.209,0.227,0.386,"Candida","plant_associated",FALSE
"OTU175","Betula",-3.729,4.026,-11.62,4.162,-0.926,0.354,0.502,"Mrakiaceae_gen_Incertae_sedis","other/unassigned",FALSE
"OTU176","Betula",1.817,0.735,0.376,3.259,2.471,0.0135,0.0551,"Dothiora","other/unassigned",FALSE
"OTU192","Betula",2.156,2.46,-2.666,6.978,0.876,0.381,NA,"Kabatiella","plant_associated",TRUE
"OTU252","Betula",-1.638,1.181,-3.953,0.677,-1.386,0.166,0.327,NA,"plant_associated",FALSE
"OTU258","Betula",9.318,4.586,0.33,18.306,2.032,0.0421,NA,NA,"other/unassigned",TRUE
"OTU320","Betula",0.685,0.47,-0.236,1.607,1.458,0.145,0.307,NA,"other/unassigned",FALSE
"OTU340","Betula",15.036,28.75,-41.314,71.387,0.523,0.601,NA,"Cladosporium","plant_associated",TRUE
"OTU381","Betula",3.675,1.79,0.166,7.184,2.053,0.0401,0.134,NA,"other/unassigned",FALSE
"OTU483","Betula",-3.469,4.078,-11.463,4.525,-0.85,0.395,0.539,NA,"plant_associated",FALSE
"OTU554","Betula",2.559,1.495,-0.371,5.489,1.712,0.0869,0.217,"Exobasidium","plant_associated",FALSE
"OTU594","Betula",-0.499,1.687,-3.805,2.807,-0.296,0.767,NA,"Taphrina","plant_associated",TRUE
"OTU628","Betula",-0.304,1.532,-3.307,2.698,-0.199,0.843,0.877,"Frutidella","other/unassigned",FALSE
"OTU636","Betula",-8.891,3.073,-14.914,-2.868,-2.893,0.00381,0.0274,"Sporormiella","coprophilous",FALSE
"OTU637","Betula",1.004,0.864,-0.689,2.698,1.162,0.245,0.411,NA,"other/unassigned",FALSE
"OTU651","Betula",58.229,7.817,42.908,73.55,7.449,9.4e-14,NA,NA,"other/unassigned",TRUE
"OTU691","Betula",0.888,1.241,-1.544,3.321,0.716,0.474,0.611,NA,"other/unassigned",FALSE
"OTU715","Betula",4.69,4.225,-3.591,12.972,1.11,0.267,NA,NA,"other/unassigned",TRUE
"OTU733","Betula",-0.907,1.379,-3.611,1.797,-0.658,0.511,0.638,"Psilolechiaceae_gen_Incertae_sedis","other/unassigned",FALSE
"OTU758","Betula",1.032,1.204,-1.328,3.391,0.857,0.391,0.539,"Meristemomyces","plant_associated",FALSE
"OTU788","Betula",2.201,3.199,-4.069,8.472,0.688,0.491,NA,NA,"other/unassigned",TRUE
"OTU827","Betula",4.256,2.272,-0.196,8.708,1.874,0.061,0.192,NA,"other/unassigned",FALSE
"OTU911","Betula",-6.879,1.348,-9.522,-4.236,-5.102,3.36e-07,NA,NA,"other/unassigned",TRUE
"OTU1183","Betula",-1.086,1.246,-3.528,1.355,-0.872,0.383,NA,"Phenoliferia","other/unassigned",TRUE
"OTU1225","Betula",-3.751,1.405,-6.505,-0.997,-2.67,0.00759,0.038,"Coniochaeta","coprophilous",FALSE
"OTU1226","Betula",7.57,2.103,3.448,11.691,3.6,0.000318,NA,"Phenoliferia","other/unassigned",TRUE
"OTU1242","Betula",-2.782,3.437,-9.519,3.955,-0.809,0.418,NA,"Spirographa","other/unassigned",TRUE
"OTU1271","Betula",0.338,2.071,-3.721,4.397,0.163,0.87,NA,"Aureobasidium","plant_associated",TRUE
"OTU1279","Betula",0.902,1.193,-1.437,3.24,0.756,0.45,0.587,NA,"other/unassigned",FALSE
"OTU1283","Betula",-9.366,10.512,-29.97,11.238,-0.891,0.373,NA,NA,"other/unassigned",TRUE
"OTU1289","Betula",1.192,0.975,-0.719,3.103,1.222,0.222,0.384,"Dothideales_gen_Incertae_sedis","other/unassigned",FALSE
"OTU1305","Betula",-3.131,1.297,-5.672,-0.589,-2.414,0.0158,0.0617,NA,"coprophilous",FALSE
"OTU1320","Betula",0.371,0.519,-0.647,1.388,0.714,0.475,0.611,NA,"coprophilous",FALSE
"OTU1340","Betula",-0.664,8.599,-17.517,16.19,-0.077,0.938,NA,NA,"other/unassigned",TRUE
"OTU1365","Betula",3.326,2.416,-1.409,8.061,1.377,0.169,0.327,"Perusta","other/unassigned",FALSE
"OTU1369","Betula",0.483,0.4,-0.301,1.266,1.207,0.228,0.386,NA,"other/unassigned",FALSE
"OTU1370","Betula",2.521,1.466,-0.352,5.395,1.72,0.0855,0.217,NA,"other/unassigned",FALSE
"OTU1427","Betula",1.844,1.098,-0.307,3.995,1.68,0.0929,0.229,NA,"other/unassigned",FALSE
"OTU1","Vaccinium",5.004,3.411,-1.681,11.689,1.467,0.142,0.305,"Thelebolus","coprophilous",FALSE
"OTU2","Vaccinium",-1.276,0.959,-3.156,0.603,-1.331,0.183,0.335,"Myriangiales_gen_Incertae_sedis","other/unassigned",FALSE
"OTU9","Vaccinium",-2.689,1.442,-5.515,0.137,-1.865,0.0621,0.192,"Cladosporium","plant_associated",FALSE
"OTU21","Vaccinium",-1.937,2.875,-7.572,3.699,-0.674,0.501,NA,"Venturia","plant_associated",TRUE
"OTU32","Vaccinium",4.163,2.122,0.003,8.323,1.962,0.0498,NA,"Phenoliferia","other/unassigned",TRUE
"OTU45","Vaccinium",-5.156,1.914,-8.908,-1.405,-2.694,0.00706,0.0374,"Coleophoma","plant_associated",FALSE
"OTU92","Vaccinium",4.791,1.546,1.762,7.821,3.1,0.00194,0.0183,NA,"coprophilous",FALSE
"OTU97","Vaccinium",6.816,2.525,1.868,11.765,2.7,0.00694,0.0374,NA,"other/unassigned",FALSE
"OTU136","Vaccinium",-0.453,1.373,-3.144,2.239,-0.33,0.742,0.811,"Candida","plant_associated",FALSE
"OTU175","Vaccinium",6.034,4.611,-3.004,15.072,1.309,0.191,0.343,"Mrakiaceae_gen_Incertae_sedis","other/unassigned",FALSE
"OTU176","Vaccinium",-7.318,2.527,-12.27,-2.366,-2.896,0.00378,0.0274,"Dothiora","other/unassigned",FALSE
"OTU192","Vaccinium",-3.66,5.442,-14.326,7.006,-0.673,0.501,NA,"Kabatiella","plant_associated",TRUE
"OTU252","Vaccinium",2.177,1.425,-0.616,4.97,1.528,0.127,0.281,NA,"plant_associated",FALSE
"OTU258","Vaccinium",-10.784,7.026,-24.555,2.986,-1.535,0.125,NA,NA,"other/unassigned",TRUE
"OTU320","Vaccinium",-1.227,0.892,-2.975,0.522,-1.375,0.169,0.327,NA,"other/unassigned",FALSE
