"OTU_ID","Genus","prevalence","specificity_HHI","diffuse_baseline","dominant_plant","dom_slope_med","dom_slope_lwr90","dom_slope_upr90","resolved_single_plant","separation","guild_group","primary_guild","FUNGuild"
"OTU628","Frutidella",6,0.394,0.167,"Empetrum",5.613,-1.225,12.451,FALSE,FALSE,"other/unassigned","Lichenized","|Lichenized|"
"OTU252",NA,13,0.265,0.167,"Vaccinium",2.177,-0.167,4.521,FALSE,FALSE,"plant_associated",NA,"Animal Pathogen-Plant Pathogen-Undefined Saprotroph"
"OTU636","Sporormiella",8,0.255,0.167,"Vaccinium",12.252,6.696,17.808,TRUE,FALSE,"coprophilous","Plant Saprotroph","Dung Saprotroph-Endophyte-Lichen Parasite-|Plant Saprotroph|"
"OTU1","Thelebolus",9,0.253,0.167,"Empetrum",-6.05,-13.06,0.961,FALSE,FALSE,"coprophilous","Dung Saprotroph","|Dung Saprotroph|-Endophyte-Plant Saprotroph-Undefined Saprotroph"
"OTU758","Meristemomyces",7,0.253,0.167,"Empetrum",3.092,1.274,4.909,TRUE,FALSE,"plant_associated","Plant Saprotroph","|Plant Saprotroph|"
"OTU637",NA,11,0.251,0.167,"Picea",6.685,2.355,11.015,TRUE,FALSE,"other/unassigned",NA,NA
"OTU45","Coleophoma",8,0.248,0.167,"Vaccinium",-5.156,-8.305,-2.008,TRUE,FALSE,"plant_associated","Plant Pathogen","Endophyte-|Plant Pathogen|-Undefined Saprotroph"
"OTU1369",NA,16,0.247,0.167,"Empetrum",0.877,-0.368,2.123,FALSE,FALSE,"other/unassigned",NA,NA
"OTU1289","Dothideales_gen_Incertae_sedis",8,0.242,0.167,"Vaccinium",-1.665,-4.117,0.787,FALSE,FALSE,"other/unassigned",NA,NA
"OTU691",NA,12,0.236,0.167,"Picea",2.462,-9.909,14.834,FALSE,FALSE,"other/unassigned",NA,NA
"OTU2","Myriangiales_gen_Incertae_sedis",17,0.235,0.167,"Empetrum",1.697,0.4,2.994,TRUE,FALSE,"other/unassigned",NA,NA
"OTU9","Cladosporium",6,0.235,0.167,"Picea",3.149,-1.91,8.209,FALSE,FALSE,"plant_associated","Plant Saprotroph","Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-|Plant Saprotroph|-Wood Saprotroph"
"OTU554","Exobasidium",6,0.23,0.167,"Picea",7.824,-1.869,17.517,FALSE,FALSE,"plant_associated","Plant Pathogen","|Plant Pathogen|"
"OTU733","Psilolechiaceae_gen_Incertae_sedis",10,0.23,0.167,"Picea",-3.798,-16.844,9.248,FALSE,FALSE,"other/unassigned",NA,"Lichen Parasite-Lichenized"
"OTU1279",NA,7,0.229,0.167,"Picea",4.888,0.425,9.352,TRUE,FALSE,"other/unassigned",NA,NA
"OTU320",NA,15,0.222,0.167,"Picea",1.385,-0.812,3.583,FALSE,FALSE,"other/unassigned",NA,NA
