"OTU_ID","Genus","FUNGuild_Guild","Trophic_Mode","Confidence_Ranking","guild_class","guild_display","total_reads","prevalence"
"OTU1","Thelebolus","|Dung Saprotroph|-Endophyte-Plant Saprotroph-Undefined Saprotroph","Saprotroph-Symbiotroph","Probable","dung_saprotroph","Dung saprotroph",3470164,20
"OTU636","Sporormiella","Dung Saprotroph-Endophyte-Lichen Parasite-|Plant Saprotroph|","Saprotroph","Probable","dung_saprotroph","Dung saprotroph",1987222,16
"OTU1225","Coniochaeta","Animal Pathogen-Dung Saprotroph-Endophyte-Lichen Parasite-Plant Pathogen-|Undefined Saprotroph|","Pathotroph-Saprotroph-Symbiotroph","Possible","dung_saprotroph","Dung saprotroph",1153941,18
"OTU1275","Bergerella","|Lichen Parasite|","Pathotroph","Probable","pathotroph","Pathotroph",1007400,8
"OTU1320",NA,"Dung Saprotroph-Plant Saprotroph","Saprotroph","Probable","dung_saprotroph","Dung saprotroph",708168,28
"OTU1369",NA,NA,NA,NA,"dark_unassigned","Unassigned / dark",666165,23
"OTU1420",NA,NA,NA,NA,"dark_unassigned","Unassigned / dark",530129,2
"OTU45","Coleophoma","Endophyte-|Plant Pathogen|-Undefined Saprotroph","Pathotroph-Saprotroph-Symbiotroph","Probable","plant_associated","Plant-associated",355567,9
"OTU2","Myriangiales_gen_Incertae_sedis",NA,NA,NA,"other","Unassigned / dark",344343,26
"OTU92",NA,"Animal Pathogen-Dung Saprotroph-Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph","Pathotroph-Saprotroph-Symbiotroph","Possible","dung_saprotroph","Dung saprotroph",306115,17
"OTU320",NA,NA,NA,NA,"dark_unassigned","Unassigned / dark",265462,24
"OTU175","Mrakiaceae_gen_Incertae_sedis",NA,NA,NA,"other","Unassigned / dark",264811,18
"OTU136","Candida","Animal Pathogen-Endophyte-Endosymbiont-Epiphyte-|Undefined Saprotroph|","Pathotroph-Saprotroph-Symbiotroph","Probable","plant_associated","Plant-associated",261562,17
"OTU213","Thelebolus","|Dung Saprotroph|-Endophyte-Plant Saprotroph-Undefined Saprotroph","Saprotroph-Symbiotroph","Probable","dung_saprotroph","Dung saprotroph",245616,10
"OTU290",NA,NA,NA,NA,"dark_unassigned","Unassigned / dark",240053,5
"OTU252",NA,"Animal Pathogen-Plant Pathogen-Undefined Saprotroph","Pathotroph-Saprotroph","Possible","plant_associated","Plant-associated",239890,24
"OTU357",NA,NA,NA,NA,"dark_unassigned","Unassigned / dark",224600,4
"OTU419",NA,NA,NA,NA,"dark_unassigned","Unassigned / dark",210712,8
"OTU441","Venturia","|Plant Pathogen|-Plant Saprotroph","Pathotroph-Pathotroph-Saprotroph","Probable","plant_associated","Plant-associated",188347,6
"OTU483",NA,"Endophyte-Plant Pathogen-Undefined Saprotroph","Pathotroph-Saprotroph-Symbiotroph","Probable","plant_associated","Plant-associated",171967,10
"OTU637",NA,NA,NA,NA,"dark_unassigned","Unassigned / dark",139089,17
"OTU564",NA,NA,NA,NA,"dark_unassigned","Unassigned / dark",138337,5
"OTU653","Ceratobasidium","Ectomycorrhizal-Endomycorrhizal-Orchid Mycorrhizal-|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph","Pathotroph-Saprotroph-Symbiotroph","Possible","plant_associated","Plant-associated",137117,4
"OTU691",NA,NA,NA,NA,"dark_unassigned","Unassigned / dark",125686,15
"OTU715",NA,NA,NA,NA,"dark_unassigned","Unassigned / dark",117975,11
"OTU758","Meristemomyces","|Plant Saprotroph|","Saprotroph","Probable","plant_associated","Plant-associated",117925,12
"OTU733","Psilolechiaceae_gen_Incertae_sedis","Lichen Parasite-Lichenized","Pathotroph-Symbiotroph","Probable","pathotroph","Pathotroph",117146,14
"OTU827",NA,NA,NA,NA,"dark_unassigned","Unassigned / dark",106633,14
"OTU788",NA,NA,NA,NA,"dark_unassigned","Unassigned / dark",101085,9
"OTU911",NA,NA,NA,NA,"dark_unassigned","Unassigned / dark",98368,11
"OTU1183","Phenoliferia","|Undefined Saprotroph|","Saprotroph","Probable","other","Other assigned",91409,17
"OTU1066",NA,NA,NA,NA,"dark_unassigned","Unassigned / dark",86521,3
"OTU1125",NA,NA,NA,NA,"dark_unassigned","Unassigned / dark",85780,3
"OTU1206","Sporormiella","Dung Saprotroph-Endophyte-Lichen Parasite-|Plant Saprotroph|","Saprotroph","Probable","dung_saprotroph","Dung saprotroph",75826,7
"OTU1216","Ceratobasidium","Ectomycorrhizal-Endomycorrhizal-Orchid Mycorrhizal-|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph","Pathotroph-Saprotroph-Symbiotroph","Possible","plant_associated","Plant-associated",72845,4
"OTU1221","Vishniacozyma","|Undefined Saprotroph|","Saprotroph","Probable","other","Other assigned",71416,2
"OTU1226","Phenoliferia","|Undefined Saprotroph|","Saprotroph","Probable","other","Other assigned",69964,17
"OTU1231","Coleophoma","Endophyte-|Plant Pathogen|-Undefined Saprotroph","Pathotroph-Saprotroph-Symbiotroph","Probable","plant_associated","Plant-associated",68486,5
"OTU1239","Paraphaeomoniella","|Plant Pathogen|","Pathotroph","Probable","plant_associated","Plant-associated",68065,10
"OTU1245",NA,NA,NA,NA,"dark_unassigned","Unassigned / dark",64186,5
"OTU1242","Spirographa","|Lichen Parasite|","Pathotroph","Probable","pathotroph","Pathotroph",64071,10
"OTU1250","Vishniacozyma","|Undefined Saprotroph|","Saprotroph","Probable","other","Other assigned",62291,10
"OTU1261",NA,NA,NA,NA,"dark_unassigned","Unassigned / dark",57332,4
"OTU1271","Aureobasidium","Animal Pathogen-Endophyte-Epiphyte-|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph","Pathotroph-Saprotroph-Symbiotroph","Possible","plant_associated","Plant-associated",53871,12
"OTU1279",NA,NA,NA,NA,"dark_unassigned","Unassigned / dark",53848,13
"OTU1267",NA,NA,NA,NA,"dark_unassigned","Unassigned / dark",53335,9
"OTU1276",NA,NA,NA,NA,"dark_unassigned","Unassigned / dark",52143,4
"OTU1283",NA,NA,NA,NA,"dark_unassigned","Unassigned / dark",51597,8
"OTU1300",NA,NA,NA,NA,"dark_unassigned","Unassigned / dark",50395,4
"OTU1289","Dothideales_gen_Incertae_sedis",NA,NA,NA,"other","Unassigned / dark",47350,12
"OTU1307",NA,NA,NA,NA,"dark_unassigned","Unassigned / dark",40007,5
"OTU1305",NA,"Animal Pathogen-Dung Saprotroph-Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph","Pathotroph-Saprotroph-Symbiotroph","Possible","dung_saprotroph","Dung saprotroph",39302,15
"OTU1330",NA,"Plant Pathogen","Pathotroph","Probable","plant_associated","Plant-associated",39062,5
"OTU1336",NA,"Dung Saprotroph-Plant Saprotroph","Saprotroph","Probable","dung_saprotroph","Dung saprotroph",36430,8
"OTU1370",NA,NA,NA,NA,"dark_unassigned","Unassigned / dark",35970,7
"OTU1340",NA,NA,NA,NA,"dark_unassigned","Unassigned / dark",35681,9
"OTU1379","Malassezia","Animal Pathogen-|Undefined Saprotroph|","Pathotroph-Saprotroph","Probable","pathotroph","Pathotroph",34516,2
"OTU1345",NA,NA,NA,NA,"dark_unassigned","Unassigned / dark",34231,8
"OTU1359",NA,NA,NA,NA,"dark_unassigned","Unassigned / dark",32595,5
"OTU1365","Perusta","|Undefined Saprotroph|","Saprotroph","Probable","other","Other assigned",32418,11
"OTU1353","Sistotrema","Ectomycorrhizal-|Plant Saprotroph|-Wood Saprotroph","Saprotroph-Symbiotroph","Possible","plant_associated","Plant-associated",32280,3
"OTU1373","Antarctolichenia",NA,NA,NA,"other","Unassigned / dark",31075,6
"OTU1384","Myriangiales_gen_Incertae_sedis",NA,NA,NA,"other","Unassigned / dark",30894,7
"OTU1416",NA,NA,NA,NA,"dark_unassigned","Unassigned / dark",30673,7
"OTU1427",NA,NA,NA,NA,"dark_unassigned","Unassigned / dark",30067,16
"OTU1421","Sistotrema","Ectomycorrhizal-|Plant Saprotroph|-Wood Saprotroph","Saprotroph-Symbiotroph","Possible","plant_associated","Plant-associated",29751,3
"OTU1400",NA,NA,NA,NA,"dark_unassigned","Unassigned / dark",28978,3
"OTU1405",NA,NA,NA,NA,"dark_unassigned","Unassigned / dark",28926,4
"OTU1396","Venturia","|Plant Pathogen|-Plant Saprotroph","Pathotroph-Pathotroph-Saprotroph","Probable","plant_associated","Plant-associated",28825,5
"OTU1390","Mrakia","|Undefined Saprotroph|","Saprotroph","Probable","other","Other assigned",28504,10
"OTU3","Thelebolus","|Dung Saprotroph|-Endophyte-Plant Saprotroph-Undefined Saprotroph","Saprotroph-Symbiotroph","Probable","dung_saprotroph","Dung saprotroph",28501,2
"OTU1410","Venturia","|Plant Pathogen|-Plant Saprotroph","Pathotroph-Pathotroph-Saprotroph","Probable","plant_associated","Plant-associated",28277,5
"OTU1439","Bisifusarium","|Plant Saprotroph|-Wood Saprotroph","Saprotroph","Probable","plant_associated","Plant-associated",26249,3
"OTU1432",NA,"Endophyte-Plant Pathogen-Undefined Saprotroph","Pathotroph-Saprotroph-Symbiotroph","Probable","plant_associated","Plant-associated",26204,3
"OTU1445",NA,NA,NA,NA,"dark_unassigned","Unassigned / dark",25511,2
"OTU1447",NA,NA,NA,NA,"dark_unassigned","Unassigned / dark",25181,2
"OTU1455",NA,NA,NA,NA,"dark_unassigned","Unassigned / dark",24963,3
"OTU9","Cladosporium","Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-|Plant Saprotroph|-Wood Saprotroph","Pathotroph-Saprotroph-Symbiotroph","Possible","plant_associated","Plant-associated",24789,9
"OTU1452",NA,"Dung Saprotroph-Endophyte-Plant Pathogen-Undefined Saprotroph","Pathotroph-Saprotroph-Symbiotroph","Probable","dung_saprotroph","Dung saprotroph",24444,6
