"Guild","Season","Year","mean_share","sd_share","n_samples"
"Dung saprotroph","Winter","2022",0.245416266798083,0.352245586303304,10
"Dung saprotroph","Summer","2022",0.413495776065187,0.488350945121242,9
"Dung saprotroph","Winter","2023",0.108522359068609,0.161651764678838,9
"Dung saprotroph","Summer","2023",0.682826594388269,0.360925712314339,9
"Dung saprotroph","Winter","2024",0.0167285656694643,0.025981186620252,7
"Dung saprotroph","Summer","2024",0.44014582675689,0.41822651599759,8
"Plant-associated","Winter","2022",0.33577088666802,0.290521237559934,10
"Plant-associated","Summer","2022",0.21903137328727,0.366312713586996,9
"Plant-associated","Winter","2023",0.142506085294042,0.117916327401267,9
"Plant-associated","Summer","2023",0.137198010945957,0.278978261990609,9
"Plant-associated","Winter","2024",0.206714113673842,0.159247188111294,7
"Plant-associated","Summer","2024",0.185460096554127,0.196652224552555,8
"Pathotroph","Winter","2022",0.0548778714805126,0.0759958611679697,10
"Pathotroph","Summer","2022",0.111676376183981,0.317824964229559,9
"Pathotroph","Winter","2023",0.0478896940622493,0.0440359639226973,9
"Pathotroph","Summer","2023",0.00432191846861848,0.0105026700966233,9
"Pathotroph","Winter","2024",0.0768313567639386,0.0716442149065713,7
"Pathotroph","Summer","2024",0.020881059519173,0.0341386187755006,8
"Other assigned","Winter","2022",0.0300579419210688,0.0334459781850571,10
"Other assigned","Summer","2022",0.0221178441040919,0.0370121903470757,9
"Other assigned","Winter","2023",0.0465802220869794,0.0408060709524474,9
"Other assigned","Summer","2023",0.06376448948678,0.0573966455753011,9
"Other assigned","Winter","2024",0.119428802386404,0.0846264791226713,7
"Other assigned","Summer","2024",0.0603307356228918,0.0533132874687588,8
"Unassigned / dark","Winter","2022",0.333877033132315,0.290100162496976,10
"Unassigned / dark","Summer","2022",0.23367863035947,0.355243796753231,9
"Unassigned / dark","Winter","2023",0.65450163948812,0.175533939226765,9
"Unassigned / dark","Summer","2023",0.111888986710375,0.214641956836693,9
"Unassigned / dark","Winter","2024",0.580297161506351,0.24936214104374,7
"Unassigned / dark","Summer","2024",0.293182281546918,0.238703823068228,8
