"OTU_ID","Genus","guild","beta_season_mean","beta_season_support","beta_season_CrI2.5","beta_season_CrI97.5"
"OTU636","Sporormiella","dung_saprotroph",1.102,0.899,-0.319,3.577
"OTU1","Thelebolus","dung_saprotroph",1.014,0.798,-0.576,3.786
"OTU1225","Coniochaeta","dung_saprotroph",0.967,0.801,-0.496,3.613
"OTU1183","Phenoliferia","other",0.945,0.829,-0.376,3.189
"OTU1226","Phenoliferia","other",0.814,0.81,-0.427,2.806
"OTU1250","Vishniacozyma","other",0.73,0.935,-0.142,2.009
"OTU1336",NA,"dung_saprotroph",0.614,0.961,-0.066,1.397
"OTU1234","Mrakia","other",0.605,0.987,0.068,1.188
"OTU419",NA,"dark_unassigned",0.584,0.954,-0.085,1.338
"OTU1320",NA,"dung_saprotroph",0.553,0.664,-0.806,2.641
"OTU92",NA,"dung_saprotroph",0.526,0.77,-0.567,2.009
"OTU1305",NA,"dung_saprotroph",0.504,0.757,-0.494,1.943
"OTU21","Venturia","plant_associated",0.49,0.914,-0.159,1.316
"OTU1267",NA,"dark_unassigned",0.452,0.932,-0.129,1.1
"OTU258",NA,"dark_unassigned",0.429,0.704,-0.518,1.769
"OTU213","Thelebolus","dung_saprotroph",0.42,0.625,-0.626,2.145
"OTU409","Solicoccozyma","plant_associated",0.413,0.715,-0.45,1.681
"OTU1257","Piskurozyma","other",0.391,0.938,-0.094,0.908
"OTU272",NA,"dark_unassigned",0.388,0.935,-0.122,0.884
"OTU651",NA,"dark_unassigned",0.376,0.89,-0.189,0.995
"OTU483",NA,"plant_associated",0.365,0.777,-0.465,1.339
"OTU291",NA,"other",0.363,0.911,-0.176,0.965
"OTU199","Sympodiella","plant_associated",0.362,0.941,-0.113,0.82
"OTU874",NA,"dark_unassigned",0.358,0.728,-0.381,1.345
"OTU41","Goffeauzyma","plant_associated",0.354,0.799,-0.362,1.282
"OTU357",NA,"dark_unassigned",0.347,0.862,-0.24,1.011
"OTU1227","Phaeotremella","pathotroph",0.338,0.819,-0.284,1.108
"OTU1396","Venturia","plant_associated",0.337,0.907,-0.163,0.858
