"covariate","trait","mean","support","CrI_2.5","CrI_97.5"
"(Intercept)","(Intercept)",0.278,0.924,-0.099,0.65
"Seasonsummer","(Intercept)",0.336,0.82,-0.19,1.159
"Year2023","(Intercept)",0.095,0.698,-0.201,0.459
"Year2024","(Intercept)",-0.308,0.009,-0.575,-0.047
"(Intercept)","guildplant_associated",-0.375,0.04,-0.791,0.041
"Seasonsummer","guildplant_associated",-0.34,0.179,-1.249,0.191
"Year2023","guildplant_associated",-0.14,0.226,-0.548,0.185
"Year2024","guildplant_associated",0.369,0.996,0.091,0.648
"(Intercept)","guildpathotroph",-0.397,0.049,-0.848,0.073
"Seasonsummer","guildpathotroph",-0.49,0.093,-1.506,0.141
"Year2023","guildpathotroph",-0.101,0.337,-0.555,0.256
"Year2024","guildpathotroph",0.427,0.997,0.126,0.73
"(Intercept)","guilddark_unassigned",-0.281,0.102,-0.695,0.131
"Seasonsummer","guilddark_unassigned",-0.487,0.048,-1.394,0.05
"Year2023","guilddark_unassigned",-0.128,0.254,-0.547,0.187
"Year2024","guilddark_unassigned",0.315,0.99,0.045,0.584
"(Intercept)","guildother",-0.491,0.006,-0.854,-0.114
"Seasonsummer","guildother",-0.295,0.14,-0.941,0.168
"Year2023","guildother",0.016,0.558,-0.29,0.292
"Year2024","guildother",0.405,0.999,0.142,0.68
