"OTU_ID","Genus","guild_class","FUNGuild"
"OTU1","Thelebolus","dung_saprotroph","|Dung Saprotroph|-Endophyte-Plant Saprotroph-Undefined Saprotroph"
"OTU2","Myriangiales_gen_Incertae_sedis","other",NA
"OTU9","Cladosporium","plant_associated","Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-|Plant Saprotroph|-Wood Saprotroph"
"OTU14",NA,"dark_unassigned",NA
"OTU15",NA,"dark_unassigned",NA
"OTU19","Malassezia","pathotroph","Animal Pathogen-|Undefined Saprotroph|"
"OTU21","Venturia","plant_associated","|Plant Pathogen|-Plant Saprotroph"
"OTU22",NA,"dung_saprotroph","Dung Saprotroph-Plant Saprotroph"
"OTU26",NA,"dark_unassigned",NA
"OTU27",NA,"dark_unassigned",NA
"OTU30",NA,"dark_unassigned",NA
"OTU32","Phenoliferia","other","|Undefined Saprotroph|"
"OTU38","Spizellomycetales_gen_Incertae_sedis","other",NA
"OTU41","Goffeauzyma","plant_associated","Plant Saprotroph-|Undefined Saprotroph|"
"OTU43",NA,"dark_unassigned",NA
"OTU45","Coleophoma","plant_associated","Endophyte-|Plant Pathogen|-Undefined Saprotroph"
"OTU46",NA,"dark_unassigned",NA
"OTU47",NA,"dark_unassigned",NA
"OTU51",NA,"dark_unassigned",NA
"OTU55","Venturia","plant_associated","|Plant Pathogen|-Plant Saprotroph"
"OTU62","Tausonia","other","|Undefined Saprotroph|"
"OTU72","Krasilnikovozyma","other","|Undefined Saprotroph|"
"OTU74",NA,"dark_unassigned",NA
"OTU80",NA,"dark_unassigned",NA
"OTU90",NA,"plant_associated","Animal Pathogen-Plant Pathogen-Undefined Saprotroph"
"OTU92",NA,"dung_saprotroph","Animal Pathogen-Dung Saprotroph-Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph"
"OTU93","Candida","plant_associated","Animal Pathogen-Endophyte-Endosymbiont-Epiphyte-|Undefined Saprotroph|"
"OTU97",NA,"dark_unassigned",NA
"OTU104",NA,"dark_unassigned",NA
"OTU108","Coccomyces","plant_associated","Endophyte-Plant Pathogen-|Plant Saprotroph|"
"OTU113",NA,"pathotroph","Fungal Parasite-Undefined Saprotroph"
"OTU121",NA,"dark_unassigned",NA
