"model","OTU_ID","expl_R2","cv_R2","expl_AUC"
"clr","OTU1",0.519,0,NA
"clr","OTU2",0.294,0.125,NA
"clr","OTU9",0.194,0.016,NA
"clr","OTU14",0.208,-0.003,NA
"clr","OTU15",0.857,-0.002,NA
"clr","OTU19",0.138,0,NA
"clr","OTU21",0.3,-0.008,NA
"clr","OTU22",0.901,-0.106,NA
"clr","OTU26",0.406,0.019,NA
"clr","OTU27",0.78,-0.025,NA
"clr","OTU30",0.65,-0.036,NA
"clr","OTU32",0.655,-0.093,NA
"clr","OTU38",1,-0.005,NA
"clr","OTU41",0.414,-0.049,NA
"clr","OTU43",0.871,-0.06,NA
"clr","OTU45",0.298,-0.001,NA
"clr","OTU46",0.138,0.026,NA
"clr","OTU47",0.637,0.007,NA
"clr","OTU51",0.633,-0.034,NA
"clr","OTU55",0.642,-0.005,NA
"clr","OTU62",0.687,-0.095,NA
"clr","OTU72",0.882,-0.035,NA
"clr","OTU74",0.187,0.066,NA
"clr","OTU80",0.653,-0.008,NA
"clr","OTU90",0.433,-0.02,NA
"clr","OTU92",0.266,-0.008,NA
"clr","OTU93",0.176,0.104,NA
"clr","OTU97",0.537,0.003,NA
"clr","OTU104",0.173,0.072,NA
"clr","OTU108",0.904,0.011,NA
"clr","OTU113",0.723,-0.057,NA
"clr","OTU121",0.394,0,NA
"clr","OTU132",0.178,0.055,NA
"clr","OTU136",0.088,0.015,NA
"clr","OTU137",1,-0.008,NA
"clr","OTU147",0.147,-0.052,NA
"clr","OTU150",0.681,-0.063,NA
"clr","OTU153",0.332,-0.002,NA
"clr","OTU159",0.154,0.012,NA
"clr","OTU167",0.167,0.055,NA
"clr","OTU175",0.19,-0.004,NA
"clr","OTU176",0.225,0,NA
"clr","OTU190",0.152,0.058,NA
"clr","OTU192",0.162,0.05,NA
"clr","OTU194",0.702,0.023,NA
"clr","OTU199",0.631,0,NA
"clr","OTU207",0.165,0.019,NA
"clr","OTU209",0.278,-0.044,NA
"clr","OTU213",0.572,-0.043,NA
"clr","OTU216",0.122,0.016,NA
"clr","OTU232",0.218,-0.002,NA
"clr","OTU245",0.153,0.062,NA
"clr","OTU252",0.126,0.023,NA
"clr","OTU253",1,-0.002,NA
"clr","OTU258",0.656,-0.095,NA
"clr","OTU265",0.162,0.035,NA
"clr","OTU267",0.135,0.067,NA
"clr","OTU272",0.284,0.006,NA
"clr","OTU275",0.528,-0.012,NA
"clr","OTU285",0.257,0,NA
"clr","OTU290",0.225,-0.037,NA
"clr","OTU291",0.354,-0.086,NA
"clr","OTU295",1,-0.003,NA
"clr","OTU300",0.18,0.002,NA
"clr","OTU305",0.968,0,NA
