"OTU_ID","Genus","guild","beta_season_mean","beta_season_support","beta_season_CrI2.5","beta_season_CrI97.5"
"OTU1267",NA,"dark_unassigned",2.515,1,1.264,3.977
"OTU1250","Vishniacozyma","other",2.17,0.999,0.743,3.89
"OTU1234","Mrakia","other",2.156,0.999,0.789,3.784
"OTU272",NA,"dark_unassigned",1.924,1,0.71,3.409
"OTU636","Sporormiella","dung_saprotroph",1.834,0.997,0.673,3.52
"OTU441","Venturia","plant_associated",1.769,0.999,0.529,3.175
"OTU27",NA,"dark_unassigned",1.737,0.996,0.397,3.239
"OTU1183","Phenoliferia","other",1.716,0.982,0.134,3.504
"OTU258",NA,"dark_unassigned",1.697,0.997,0.457,3.184
"OTU1364","Piskurozyma","other",1.686,0.991,0.252,3.352
"OTU291",NA,"other",1.659,0.992,0.295,3.282
"OTU618","Piskurozyma","other",1.65,0.973,-0.039,3.475
"OTU419",NA,"dark_unassigned",1.621,0.997,0.484,2.702
"OTU1388","Pseudohyphozyma","other",1.61,0.979,0.07,3.41
"OTU1410","Venturia","plant_associated",1.61,0.995,0.32,3.184
"OTU1257","Piskurozyma","other",1.606,0.983,0.084,3.254
"OTU357",NA,"dark_unassigned",1.598,0.996,0.421,3.054
"OTU527","Piskurozyma","other",1.597,0.985,0.1,3.317
"OTU1362","Bannozyma","other",1.596,0.985,0.125,3.275
"OTU32","Phenoliferia","other",1.567,0.988,0.173,3.169
"OTU564",NA,"dark_unassigned",1.561,0.992,0.308,3.07
"OTU651",NA,"dark_unassigned",1.557,0.993,0.282,3.048
"OTU1245",NA,"dark_unassigned",1.556,0.993,0.29,3.089
"OTU1450","Ascocoryne","other",1.556,0.99,0.253,3.093
"OTU431",NA,"plant_associated",1.556,0.988,0.204,3.071
"OTU392","Pycnora","other",1.532,0.986,0.124,3.156
"OTU1226","Phenoliferia","other",1.531,0.997,0.426,2.747
"OTU108","Coccomyces","plant_associated",1.521,0.988,0.164,3.076
"OTU653","Ceratobasidium","plant_associated",1.504,0.985,0.123,3.113
"OTU1213","Phenoliferia","other",1.483,0.981,0.063,3.228
"OTU21","Venturia","plant_associated",1.46,1,0.534,2.491
"OTU626","Piskurozyma","other",1.445,0.973,-0.022,3.094
"OTU1153","Piskurozyma","other",1.419,0.964,-0.106,3.165
"OTU113",NA,"pathotroph",1.416,0.98,0.067,3.016
"OTU1216","Ceratobasidium","plant_associated",1.415,0.978,0.03,3.054
"OTU1396","Venturia","plant_associated",1.412,0.995,0.229,2.817
"OTU51",NA,"dark_unassigned",1.398,0.98,0.06,2.962
"OTU1024",NA,"dark_unassigned",1.38,0.991,0.174,2.86
"OTU1336",NA,"dung_saprotroph",1.378,0.983,0.1,2.793
"OTU676","Piskurozyma","other",1.378,0.957,-0.188,3.169
"OTU290",NA,"dark_unassigned",1.364,0.972,-0.032,2.932
"OTU776","Piskurozyma","other",1.355,0.965,-0.083,3.083
"OTU323",NA,"dark_unassigned",1.354,0.991,0.22,2.666
"OTU1261",NA,"dark_unassigned",1.323,0.979,0.065,2.794
"OTU1223","Meristemomyces","plant_associated",1.322,0.981,0.074,2.787
"OTU829",NA,"other",1.316,0.972,-0.02,2.888
"OTU1432",NA,"plant_associated",1.303,0.982,0.082,2.783
"OTU400","Phenoliferia","other",1.299,0.95,-0.229,3.032
"OTU640",NA,"dark_unassigned",1.287,0.955,-0.169,2.953
"OTU41","Goffeauzyma","plant_associated",1.271,0.965,-0.093,2.893
"OTU199","Sympodiella","plant_associated",1.264,0.975,0,2.701
"OTU253","Tylospora","other",1.249,0.961,-0.156,2.895
"OTU1227","Phaeotremella","pathotroph",1.246,0.949,-0.212,2.956
"OTU874",NA,"dark_unassigned",1.242,0.948,-0.234,2.874
"OTU589",NA,"dark_unassigned",1.234,0.969,-0.048,2.718
"OTU1463","Piskurozyma","other",1.231,0.934,-0.303,2.911
"OTU38","Spizellomycetales_gen_Incertae_sedis","other",1.228,0.959,-0.149,2.831
"OTU1237",NA,"dark_unassigned",1.211,0.958,-0.153,2.75
"OTU429","Cladophialophora","plant_associated",1.188,0.979,0.046,2.412
"OTU72","Krasilnikovozyma","other",1.18,0.942,-0.289,2.862
"OTU1353","Sistotrema","plant_associated",1.175,0.958,-0.132,2.705
"OTU1392","Bannozyma","other",1.152,0.921,-0.428,2.937
"OTU749","Piskurozyma","other",1.146,0.915,-0.398,2.924
"OTU475",NA,"dark_unassigned",1.138,0.96,-0.172,2.662
"OTU1248","Neophaeomoniella","plant_associated",1.136,0.987,0.118,2.267
"OTU591",NA,"pathotroph",1.132,0.959,-0.118,2.552
"OTU1337","Calycellina","plant_associated",1.116,0.941,-0.25,2.656
"OTU1453","Piskurozyma","other",1.113,0.936,-0.266,2.707
"OTU1455",NA,"dark_unassigned",1.108,0.945,-0.205,2.661
"OTU549",NA,"dark_unassigned",1.107,0.928,-0.351,2.736
"OTU1306","Stipitochalara","other",1.106,0.923,-0.36,2.733
"OTU1046",NA,"dark_unassigned",1.097,0.932,-0.288,2.637
"OTU14",NA,"dark_unassigned",1.096,0.944,-0.267,2.603
"OTU1412","Piskurozyma","other",1.081,0.942,-0.244,2.577
"OTU367","Itersonilia","plant_associated",1.075,0.922,-0.336,2.659
"OTU150",NA,"dark_unassigned",1.049,0.909,-0.462,2.75
"OTU1","Thelebolus","dung_saprotroph",1.036,0.95,-0.194,2.361
"OTU1330",NA,"plant_associated",1.033,0.984,0.096,2.123
"OTU1026",NA,"dark_unassigned",1.032,0.933,-0.28,2.503
"OTU26",NA,"dark_unassigned",1.024,0.923,-0.384,2.533
"OTU661","Piskurozyma","other",1.024,0.888,-0.598,2.79
"OTU807",NA,"dark_unassigned",1.015,0.934,-0.294,2.501
"OTU295",NA,"dark_unassigned",1.005,0.924,-0.328,2.565
"OTU758","Meristemomyces","plant_associated",0.993,0.993,0.188,1.853
"OTU478",NA,"dark_unassigned",0.992,0.916,-0.343,2.484
"OTU1328",NA,"other",0.99,0.932,-0.32,2.404
"OTU519","Yunzhangia","other",0.987,0.9,-0.443,2.665
"OTU1400",NA,"dark_unassigned",0.981,0.918,-0.35,2.447
"OTU137",NA,"dark_unassigned",0.975,0.916,-0.423,2.508
"OTU43",NA,"dark_unassigned",0.963,0.901,-0.492,2.622
"OTU1214","Pseudoleucosporidium","other",0.954,0.915,-0.381,2.556
"OTU47",NA,"dark_unassigned",0.946,0.91,-0.405,2.512
"OTU15",NA,"dark_unassigned",0.912,0.924,-0.352,2.239
"OTU1275","Bergerella","pathotroph",0.911,0.946,-0.157,2.074
"OTU55","Venturia","plant_associated",0.91,0.95,-0.15,2.049
"OTU1280","Piskurozyma","other",0.909,0.878,-0.547,2.596
"OTU718","Saccothecium","other",0.897,0.884,-0.521,2.505
"OTU483",NA,"plant_associated",0.896,0.942,-0.184,2.038
"OTU22",NA,"dung_saprotroph",0.894,0.892,-0.501,2.469
"OTU1288","Piskurozyma","other",0.889,0.855,-0.728,2.661
"OTU90",NA,"plant_associated",0.866,0.863,-0.634,2.531
"OTU30",NA,"dark_unassigned",0.848,0.841,-0.704,2.693
"OTU80",NA,"dark_unassigned",0.842,0.862,-0.619,2.461
"OTU1359",NA,"dark_unassigned",0.828,0.949,-0.115,1.919
"OTU383",NA,"dark_unassigned",0.811,0.863,-0.556,2.406
"OTU538","Piskurozyma","other",0.8,0.841,-0.724,2.471
"OTU1316","Piskurozyma","other",0.788,0.825,-0.731,2.495
"OTU275",NA,"dark_unassigned",0.776,0.856,-0.612,2.355
"OTU1366","Vishniacozyma","other",0.765,0.823,-0.758,2.527
"OTU430","Sporormiella","dung_saprotroph",0.763,0.932,-0.212,1.823
"OTU1277","Piskurozyma","other",0.759,0.818,-0.779,2.486
"OTU672",NA,"dark_unassigned",0.722,0.809,-0.73,2.415
"OTU300","Phaeotremella","pathotroph",0.719,0.859,-0.573,2.064
"OTU632","Parmeliopsis","other",0.677,0.889,-0.423,1.813
"OTU1360","Filobasidiales_gen_Incertae_sedis","other",0.673,0.796,-0.845,2.344
"OTU1317",NA,"dark_unassigned",0.62,0.879,-0.434,1.693
"OTU409","Solicoccozyma","plant_associated",0.609,0.817,-0.698,1.995
"OTU1390","Mrakia","other",0.57,0.828,-0.65,1.839
"OTU1424","Lophium","plant_associated",0.565,0.814,-0.647,1.834
"OTU147","Bryochiton","plant_associated",0.564,0.877,-0.379,1.512
"OTU542","Exobasidium","plant_associated",0.563,0.841,-0.494,1.723
"OTU232",NA,"plant_associated",0.561,0.864,-0.445,1.599
"OTU1457",NA,"pathotroph",0.559,0.823,-0.585,1.764
"OTU92",NA,"dung_saprotroph",0.553,0.793,-0.74,2.019
"OTU420",NA,"other",0.494,0.806,-0.605,1.648
"OTU1279",NA,"dark_unassigned",0.474,0.864,-0.33,1.368
"OTU62","Tausonia","other",0.455,0.748,-0.859,1.85
"OTU1272","Epibryon","plant_associated",0.445,0.803,-0.567,1.53
"OTU305","Sistotrema","plant_associated",0.437,0.776,-0.691,1.594
"OTU175","Mrakiaceae_gen_Incertae_sedis","other",0.432,0.808,-0.492,1.473
"OTU509","Teunia","plant_associated",0.425,0.759,-0.736,1.606
"OTU445",NA,"dark_unassigned",0.417,0.759,-0.744,1.644
"OTU683","Colacogloea","pathotroph",0.385,0.681,-1.014,1.938
"OTU1271","Aureobasidium","plant_associated",0.362,0.793,-0.491,1.25
"OTU628","Frutidella","other",0.356,0.76,-0.579,1.339
"OTU1225","Coniochaeta","dung_saprotroph",0.349,0.694,-1.138,1.864
"OTU1320",NA,"dung_saprotroph",0.339,0.805,-0.451,1.134
"OTU1342","Piskurozyma","other",0.325,0.694,-0.89,1.553
"OTU252",NA,"plant_associated",0.32,0.804,-0.383,1.049
"OTU1421","Sistotrema","plant_associated",0.318,0.694,-0.879,1.536
"OTU285","Dioszegia","plant_associated",0.316,0.686,-1.008,1.581
"OTU356","Godronia","plant_associated",0.315,0.702,-0.822,1.495
"OTU1305",NA,"dung_saprotroph",0.314,0.717,-0.752,1.372
"OTU136","Candida","plant_associated",0.3,0.77,-0.467,1.111
"OTU1345",NA,"dark_unassigned",0.278,0.711,-0.694,1.24
"OTU194","Trichoderma","plant_associated",0.276,0.708,-0.742,1.29
"OTU573","Exobasidium","plant_associated",0.243,0.661,-0.852,1.41
"OTU153",NA,"dark_unassigned",0.221,0.689,-0.686,1.122
"OTU1063","Platismatia","other",0.208,0.637,-0.992,1.422
"OTU552",NA,"dark_unassigned",0.184,0.627,-0.963,1.381
"OTU209","Fellozyma","other",0.171,0.598,-1.013,1.41
"OTU1357",NA,"pathotroph",0.108,0.566,-1.084,1.384
"OTU523",NA,"plant_associated",0.074,0.544,-1.115,1.295
"OTU121",NA,"dark_unassigned",0.069,0.559,-0.842,0.984
"OTU1329","Mucor","other",0.036,0.52,-1.067,1.155
"OTU213","Thelebolus","dung_saprotroph",0.033,0.527,-1.082,1.14
"OTU502","Parmelia","other",0.022,0.514,-1.125,1.184
"OTU846","Pseudohyphozyma","other",-0.015,0.481,-1.169,1.209
"OTU19","Malassezia","pathotroph",-0.037,0.464,-0.917,0.851
"OTU1230","Sporormiella","dung_saprotroph",-0.044,0.474,-1.056,0.911
"OTU1298","Parmeliopsis","other",-0.049,0.476,-1.331,1.201
"OTU337","Melanohalea","other",-0.061,0.452,-1.081,0.986
"OTU1265",NA,"dark_unassigned",-0.066,0.451,-1.219,1.181
"OTU1273","Piskurozyma","other",-0.066,0.458,-1.379,1.256
"OTU1231","Coleophoma","plant_associated",-0.087,0.429,-1.069,0.872
"OTU159","Rhodotorula","plant_associated",-0.108,0.393,-0.964,0.783
"OTU104",NA,"dark_unassigned",-0.119,0.405,-1.115,0.935
"OTU1322","Heterocephalacria","pathotroph",-0.119,0.415,-1.278,1.088
"OTU457","Penicillium","dung_saprotroph",-0.126,0.403,-1.118,0.877
"OTU373",NA,"dark_unassigned",-0.15,0.395,-1.21,0.9
"OTU9","Cladosporium","plant_associated",-0.152,0.354,-0.982,0.707
"OTU46",NA,"dark_unassigned",-0.153,0.384,-1.169,0.831
"OTU1289","Dothideales_gen_Incertae_sedis","other",-0.179,0.351,-1.136,0.841
"OTU1340",NA,"dark_unassigned",-0.239,0.304,-1.179,0.69
"OTU176","Dothiora","other",-0.241,0.314,-1.238,0.713
"OTU45","Coleophoma","plant_associated",-0.261,0.269,-1.101,0.59
"OTU190","Dothideales_gen_Incertae_sedis","other",-0.268,0.327,-1.481,0.965
"OTU1215",NA,"pathotroph",-0.274,0.339,-1.479,0.896
"OTU1300",NA,"dark_unassigned",-0.279,0.292,-1.277,0.712
"OTU340","Cladosporium","plant_associated",-0.321,0.252,-1.277,0.591
"OTU1449",NA,"dark_unassigned",-0.336,0.292,-1.593,0.898
"OTU97",NA,"dark_unassigned",-0.35,0.249,-1.389,0.718
"OTU216","Hypogymnia","other",-0.357,0.278,-1.555,0.821
"OTU1206","Sporormiella","dung_saprotroph",-0.36,0.265,-1.513,0.789
"OTU265",NA,"dark_unassigned",-0.366,0.254,-1.503,0.757
