"covariate","trait","mean","support","CrI_2.5","CrI_97.5"
"(Intercept)","(Intercept)",-1.836,0,-2.398,-1.285
"Seasonsummer","(Intercept)",0.475,0.958,-0.064,1.018
"Year2023","(Intercept)",0.36,0.942,-0.075,0.828
"Year2024","(Intercept)",-0.271,0.117,-0.704,0.173
"(Intercept)","guildplant_associated",-0.634,0.019,-1.213,-0.04
"Seasonsummer","guildplant_associated",0.1,0.632,-0.514,0.708
"Year2023","guildplant_associated",-0.283,0.138,-0.79,0.232
"Year2024","guildplant_associated",0.406,0.948,-0.085,0.919
"(Intercept)","guildpathotroph",-0.648,0.045,-1.41,0.081
"Seasonsummer","guildpathotroph",-0.41,0.152,-1.166,0.339
"Year2023","guildpathotroph",-0.202,0.262,-0.828,0.425
"Year2024","guildpathotroph",0.622,0.978,0.021,1.229
"(Intercept)","guilddark_unassigned",-0.675,0.011,-1.256,-0.091
"Seasonsummer","guilddark_unassigned",-0.106,0.359,-0.702,0.49
"Year2023","guilddark_unassigned",-0.293,0.12,-0.8,0.186
"Year2024","guilddark_unassigned",0.43,0.962,-0.051,0.913
"(Intercept)","guildother",-1.298,0,-1.888,-0.722
"Seasonsummer","guildother",0.291,0.828,-0.317,0.898
"Year2023","guildother",0.304,0.886,-0.19,0.813
"Year2024","guildother",0.801,1,0.319,1.305
