"OTU_ID","Season","Year","Random: sample","Random: pcr","Genus","guild"
"OTU1",0.09,0.0686,0.6679,0.1735,"Thelebolus","dung_saprotroph"
"OTU2",0.383,0.0988,0.2936,0.2247,"Myriangiales_gen_Incertae_sedis","other"
"OTU9",0.1655,0.1703,0.3244,0.3398,"Cladosporium","plant_associated"
"OTU14",0.1227,0.1838,0.3862,0.3073,NA,"dark_unassigned"
"OTU15",0.0098,0.0067,0.6815,0.302,NA,"dark_unassigned"
"OTU19",0.1415,0.2028,0.3783,0.2774,"Malassezia","pathotroph"
"OTU21",0.116,0.0482,0.5059,0.33,"Venturia","plant_associated"
"OTU22",0.0439,0.0623,0.5037,0.3901,NA,"dung_saprotroph"
"OTU26",0.0729,0.1216,0.4311,0.3745,NA,"dark_unassigned"
"OTU27",0.0227,0.0169,0.6245,0.3358,NA,"dark_unassigned"
"OTU30",0.071,0.0742,0.5562,0.2986,NA,"dark_unassigned"
"OTU32",0.1241,0.1202,0.5008,0.2548,"Phenoliferia","other"
"OTU38",0.0058,0.0064,0.7304,0.2573,"Spizellomycetales_gen_Incertae_sedis","other"
"OTU41",0.088,0.0569,0.5375,0.3177,"Goffeauzyma","plant_associated"
"OTU43",0.0537,0.0382,0.5124,0.3958,NA,"dark_unassigned"
"OTU45",0.0324,0.0229,0.6915,0.2533,"Coleophoma","plant_associated"
"OTU46",0.1632,0.1483,0.3594,0.3291,NA,"dark_unassigned"
"OTU47",0.0197,0.0175,0.7487,0.2141,NA,"dark_unassigned"
"OTU51",0.057,0.0404,0.5235,0.3791,NA,"dark_unassigned"
"OTU55",0.013,0.0122,0.6961,0.2786,"Venturia","plant_associated"
"OTU62",0.0419,0.0431,0.4562,0.4588,"Tausonia","other"
"OTU72",0.0573,0.0619,0.5267,0.354,"Krasilnikovozyma","other"
"OTU74",0.2125,0.1576,0.3438,0.286,NA,"dark_unassigned"
"OTU80",0.0485,0.0486,0.4871,0.4159,NA,"dark_unassigned"
"OTU90",0.0459,0.049,0.6679,0.2373,NA,"plant_associated"
"OTU92",0.1045,0.1001,0.6301,0.1652,NA,"dung_saprotroph"
"OTU93",0.1987,0.1563,0.3582,0.2867,"Candida","plant_associated"
"OTU97",0.0099,0.0119,0.6907,0.2876,NA,"dark_unassigned"
"OTU104",0.2686,0.1137,0.3469,0.2708,NA,"dark_unassigned"
"OTU108",0.0054,0.0057,0.7722,0.2167,"Coccomyces","plant_associated"
"OTU113",0.0176,0.0214,0.3374,0.6235,NA,"pathotroph"
"OTU121",0.0276,0.0352,0.7311,0.2061,NA,"dark_unassigned"
