"OTU_ID","beta_season_mean","guild","gllvm_season"
"OTU1",1.014,"dung_saprotroph",2.98411636149773
"OTU1024",0.239,"dark_unassigned",28.8606631275963
"OTU1026",0.12,"dark_unassigned",30.8747395844181
"OTU104",-0.541,"dark_unassigned",-11.7702841788705
"OTU1046",0.079,"dark_unassigned",30.1542550552608
"OTU1063",-0.129,"other",9.68080879783523
"OTU1066",-0.206,"dark_unassigned",9.68061045043418
"OTU108",0.098,"plant_associated",32.3141880603556
"OTU113",0.146,"pathotroph",35.565019543878
"OTU1183",0.945,"other",10.8142103841268
"OTU1206",-0.3,"dung_saprotroph",-10.2583012784507
"OTU121",0.044,"dark_unassigned",17.155699398429
"OTU1215",-0.263,"pathotroph",-10.8077196534279
"OTU1223",0.061,"plant_associated",27.4158606730013
"OTU1225",0.967,"dung_saprotroph",17.2753582108767
"OTU1226",0.814,"other",9.00126584005869
"OTU1230",0.097,"dung_saprotroph",16.1279658712864
"OTU1231",-0.256,"plant_associated",18.9593718682535
"OTU1237",0.047,"dark_unassigned",28.5539594790933
"OTU1239",-0.664,"plant_associated",-12.8427121891424
"OTU1242",-0.683,"pathotroph",-11.8705729784495
"OTU1245",0.188,"dark_unassigned",28.5361197163747
"OTU1248",0.264,"plant_associated",2.05023166057812
"OTU1261",0.032,"dark_unassigned",26.4061763928577
"OTU1265",-0.177,"dark_unassigned",6.48655504647389
"OTU1267",0.452,"dark_unassigned",39.2977015174684
"OTU1271",0.005,"plant_associated",-0.312310662182419
"OTU1272",-0.173,"plant_associated",-0.0152337585673463
"OTU1273",0.018,"other",-2.96298795981946
"OTU1275",0.072,"pathotroph",-16.1377514364985
"OTU1279",-0.3,"dark_unassigned",-3.99953878730062
"OTU1289",-0.697,"other",-10.9952934514029
"OTU1298",-0.214,"other",-6.27605173073427
"OTU1301",-0.325,"dark_unassigned",1.05537859801426
"OTU1305",0.504,"dung_saprotroph",11.8626629298878
"OTU1306",0.055,"other",30.793239927269
"OTU1317",0.017,"dark_unassigned",5.80930251386281
"OTU1320",0.553,"dung_saprotroph",-0.438759795563698
"OTU1322",-0.031,"pathotroph",3.95232779500371
"OTU1328",0.094,"other",-0.977773925826116
"OTU1329",-0.071,"other",1.03998648553123
"OTU1330",0.296,"plant_associated",8.22989755700251
"OTU1337",0.191,"plant_associated",27.4671699475665
"OTU1340",-0.589,"dark_unassigned",-7.61464071641725
"OTU1342",-0.088,"other",16.2274315475613
"OTU1345",0.236,"dark_unassigned",6.09293650812945
"OTU1357",-0.08,"pathotroph",9.58176284140571
"OTU1359",0.297,"dark_unassigned",7.34869670216542
"OTU136",-0.38,"plant_associated",-1.1352599578181
"OTU1365",-0.638,"other",-7.72420607977639
"OTU1369",-1.68,"dark_unassigned",-6.922542800943
"OTU1370",-0.553,"dark_unassigned",-8.58093296980453
"OTU1373",-0.546,"other",-6.13445231165647
"OTU1376",-0.304,"pathotroph",5.47101236942318
"OTU1384",-0.514,"other",-6.82216769872754
"OTU1390",0.318,"other",6.92180733928657
"OTU1396",0.337,"plant_associated",31.0956819189257
"OTU1410",0.223,"plant_associated",32.021382749102
"OTU1416",-0.436,"dark_unassigned",1.76017902355644
"OTU1421",-0.157,"plant_associated",-5.16455842488338
"OTU1427",-0.115,"dark_unassigned",2.71405523958528
"OTU1452",-0.342,"dung_saprotroph",-10.5083774782482
"OTU147",0.198,"plant_associated",-17.0340963291178
"OTU15",-0.071,"dark_unassigned",14.6521851150252
"OTU153",0.053,"dark_unassigned",4.1927738284778
"OTU159",-0.198,"plant_associated",-1.74875464713521
"OTU175",0.257,"other",10.0149564446435
"OTU176",-0.151,"other",-3.84757049599328
"OTU19",-0.239,"pathotroph",0.623113231404008
"OTU192",-0.521,"plant_associated",-5.91429374642934
"OTU194",0.228,"plant_associated",2.30104100567359
"OTU199",0.362,"plant_associated",31.0843186401611
"OTU2",-1.181,"other",-7.93550003111553
"OTU207",-0.449,"plant_associated",-3.24078386586896
"OTU21",0.49,"plant_associated",3.81364959409479
"OTU213",0.42,"dung_saprotroph",8.04258400237389
"OTU216",-0.352,"other",-6.71540920596449
"OTU232",0.16,"plant_associated",-3.42981705750464
"OTU245",-0.457,"dark_unassigned",-6.20936799308204
"OTU252",-0.534,"plant_associated",-0.241656212323522
"OTU258",0.429,"dark_unassigned",42.5613339147096
"OTU265",-0.428,"dark_unassigned",-8.38061065165847
"OTU27",0.168,"dark_unassigned",36.3799203189621
"OTU272",0.388,"dark_unassigned",34.8835460742933
"OTU305",0.021,"plant_associated",5.80155677409268
"OTU32",0.248,"other",40.0783221491472
"OTU320",-0.868,"dark_unassigned",-2.86920645142023
"OTU337",-0.321,"other",-7.9827670405421
"OTU340",-0.121,"plant_associated",1.58018916874047
"OTU357",0.347,"dark_unassigned",35.3493581195398
"OTU373",-0.097,"dark_unassigned",-2.22458959157494
"OTU381",-0.589,"dark_unassigned",-11.1731760790839
"OTU400",0.214,"other",29.5679041378748
"OTU409",0.413,"plant_associated",12.4380071001565
"OTU419",0.584,"dark_unassigned",9.25879701098716
"OTU420",0.042,"other",10.1295938552558
"OTU429",0.208,"plant_associated",-4.71856910908106
"OTU430",0.217,"dung_saprotroph",5.47769350289415
"OTU431",0.013,"plant_associated",28.2509678761
