"distance","Year","R2","F","p_value"
"robust Aitchison (rank-3)","2022",0.0216767283732343,0.376669341343817,0.775
"robust Aitchison (rank-3)","2023",0.244013759597352,5.16440636734101,0.009
"robust Aitchison (rank-3)","2024",0.137245070383757,2.0680101077863,0.116
"CLR + pseudocount (true Aitchison)","2022",0.0921263469848228,1.72507252913507,0.003
"CLR + pseudocount (true Aitchison)","2023",0.238577680086085,5.01330573263065,0.001
"CLR + pseudocount (true Aitchison)","2024",0.109252174335142,1.59447851056694,0.005
"Bray-Curtis","2022",0.0986200802179934,1.85997194624809,0.01
"Bray-Curtis","2023",0.241072371370941,5.08237913133127,0.001
"Bray-Curtis","2024",0.136463559643271,2.05437337957581,0.002
"Jaccard (presence/absence)","2022",0.0929280137038594,1.74162167593372,0.001
"Jaccard (presence/absence)","2023",0.207749561789061,4.19563414332875,0.001
"Jaccard (presence/absence)","2024",0.103149129848143,1.49516350226522,0.002
