"direction","OTU_ID","share_winter","share_summer","prev_winter","prev_summer","n_winter","n_summer","share_diff","Taxon","Class"
"Winter-enriched","OTU1369",0.112433928883221,0.00245058662722903,20,3,26,26,0.109983342255992,"unassigned (Dothideomycetes)","Dothideomycetes"
"Winter-enriched","OTU2",0.0504913225260048,5.85972914632926e-05,21,5,26,26,0.0504327252345415,"Myriangiales_gen_Incertae_sedis","Dothideomycetes"
"Winter-enriched","OTU252",0.0466623360691101,0.00569593388685731,15,9,26,26,0.0409664021822528,"unassigned (Pleosporales)","Dothideomycetes"
"Winter-enriched","OTU320",0.0347013098110319,0.00536117471952696,15,9,26,26,0.0293401350915049,"unassigned (Leotiomycetes)","Leotiomycetes"
"Winter-enriched","OTU136",0.0433898235716661,0.014441137372957,11,6,26,26,0.0289486861987091,"Candida","Saccharomycetes"
"Winter-enriched","OTU45",0.0307610334156028,0.00302890238498051,5,4,26,26,0.0277321310306223,"Coleophoma","Leotiomycetes"
"Winter-enriched","OTU637",0.0240084388442181,3.12363338403644e-05,14,3,26,26,0.0239772025103778,"unassigned (Dothideomycetes)","Dothideomycetes"
"Winter-enriched","OTU691",0.0237587698810277,0,15,0,26,26,0.0237587698810277,"unassigned (Dothideales)","Dothideomycetes"
"Winter-enriched","OTU715",0.0215905812571212,0,11,0,26,26,0.0215905812571212,"unassigned (Botryosphaeriales)","Dothideomycetes"
"Winter-enriched","OTU733",0.0185210262136576,7.32641202305241e-08,13,1,26,26,0.0185209529495374,"Psilolechiaceae_gen_Incertae_sedis","Lecanoromycetes"
"Summer-enriched","OTU1",0.0320802108023567,0.24850146684368,5,15,26,26,-0.216421256041323,"Thelebolus","Leotiomycetes"
"Summer-enriched","OTU1225",0.00196865223815468,0.101284294583394,3,15,26,26,-0.0993156423452392,"Coniochaeta","Sordariomycetes"
"Summer-enriched","OTU636",0.0249862851216911,0.0904869900709453,1,15,26,26,-0.0655007049492542,"Sporormiella","Dothideomycetes"
"Summer-enriched","OTU483",0.00164896478077005,0.0328012852091362,3,7,26,26,-0.0311523204283661,"unassigned (Venturiales)","Dothideomycetes"
"Summer-enriched","OTU564",0,0.0151759858904102,0,5,26,26,-0.0151759858904102,"unassigned",NA
"Summer-enriched","OTU441",0,0.0144833834154899,0,6,26,26,-0.0144833834154899,"Venturia","Dothideomycetes"
"Summer-enriched","OTU213",0.000592969427727978,0.0139970905867059,2,8,26,26,-0.013404121158978,"Thelebolus","Leotiomycetes"
"Summer-enriched","OTU290",0,0.0130861880684108,0,5,26,26,-0.0130861880684108,"unassigned (Phacidiales)","Leotiomycetes"
"Summer-enriched","OTU419",3.6046910419308e-06,0.00991738476024448,1,7,26,26,-0.00991378006920255,"unassigned (Phacidiales)","Leotiomycetes"
"Summer-enriched","OTU1245",0,0.0070412466274677,0,5,26,26,-0.0070412466274677,"unassigned (Helotiales)","Leotiomycetes"
